N,C_h,C_s,C_v,Accuracy
5,6,6,5,45
5,6,6,6,41.25
5,6,6,7,41.25
5,6,6,8,41.25
5,6,6,9,37.5
5,6,6,10,36.25
5,6,7,5,41.25
5,6,7,6,37.5
5,6,7,7,40
5,6,7,8,38.75
5,6,7,9,36.25
5,6,7,10,28.75
5,6,8,5,42.5
5,6,8,6,38.75
5,6,8,7,38.75
5,6,8,8,38.75
5,6,8,9,33.75
5,6,8,10,27.5
5,6,9,5,41.25
5,6,9,6,33.75
5,6,9,7,32.5
5,6,9,8,31.25
5,6,9,9,25
5,6,9,10,23.75
5,6,10,5,36.25
5,6,10,6,33.75
5,6,10,7,31.25
5,6,10,8,26.25
5,6,10,9,23.75
5,6,10,10,22.5
5,7,5,5,47.5
5,7,5,6,42.5
5,7,5,7,41.25
5,7,5,8,38.75
5,7,5,9,38.75
5,7,5,10,35
5,7,6,5,38.75
5,7,6,6,35
5,7,6,7,35
5,7,6,8,35
5,7,6,9,32.5
5,7,6,10,27.5
5,7,7,5,35
5,7,7,6,32.5
5,7,7,7,32.5
5,7,7,8,30
5,7,7,9,26.25
5,7,7,10,23.75
5,7,8,5,35
5,7,8,6,32.5
5,7,8,7,31.25
5,7,8,8,26.25
5,7,8,9,25
5,7,8,10,25
5,7,9,5,33.75
5,7,9,6,28.75
5,7,9,7,25
5,7,9,8,23.75
5,7,9,9,22.5
5,7,9,10,22.5
5,7,10,5,30
5,7,10,6,23.75
5,7,10,7,23.75
5,7,10,8,22.5
5,7,10,9,22.5
5,7,10,10,21.25
5,8,5,5,43.75
5,8,5,6,41.25
5,8,5,7,41.25
5,8,5,8,40
5,8,5,9,38.75
5,8,5,10,35
5,8,6,5,36.25
5,8,6,6,36.25
5,8,6,7,36.25
5,8,6,8,31.25
5,8,6,9,27.5
5,8,6,10,25
5,8,7,5,33.75
5,8,7,6,31.25
5,8,7,7,31.25
5,8,7,8,26.25
5,8,7,9,25
5,8,7,10,21.25
5,8,8,5,32.5
5,8,8,6,27.5
5,8,8,7,26.25
5,8,8,8,23.75
5,8,8,9,20
5,8,8,10,18.75
5,8,9,5,28.75
5,8,9,6,23.75
5,8,9,7,22.5
5,8,9,8,22.5
5,8,9,9,17.5
5,8,9,10,13.75
5,8,10,5,27.5
5,8,10,6,22.5
5,8,10,7,22.5
5,8,10,8,21.25
5,8,10,9,15
5,8,10,10,15
5,9,5,5,43.75
5,9,5,6,41.25
5,9,5,7,41.25
5,9,5,8,40
5,9,5,9,37.5
5,9,5,10,31.25
5,9,6,5,38.75
5,9,6,6,33.75
5,9,6,7,31.25
5,9,6,8,30
5,9,6,9,26.25
5,9,6,10,25
5,9,7,5,33.75
5,9,7,6,30
5,9,7,7,31.25
5,9,7,8,28.75
5,9,7,9,22.5
5,9,7,10,21.25
5,9,8,5,32.5
5,9,8,6,28.75
5,9,8,7,25
5,9,8,8,22.5
5,9,8,9,20
5,9,8,10,18.75
5,9,9,5,27.5
5,9,9,6,23.75
5,9,9,7,22.5
5,9,9,8,20
5,9,9,9,18.75
5,9,9,10,18.75
5,9,10,5,25
5,9,10,6,22.5
5,9,10,7,21.25
5,9,10,8,20
5,9,10,9,16.25
5,9,10,10,17.5
5,10,5,5,42.5
5,10,5,6,37.5
5,10,5,7,40
5,10,5,8,37.5
5,10,5,9,31.25
5,10,5,10,30
5,10,6,5,37.5
5,10,6,6,32.5
5,10,6,7,30
5,10,6,8,27.5
5,10,6,9,26.25
5,10,6,10,22.5
5,10,7,5,30
5,10,7,6,30
5,10,7,7,28.75
5,10,7,8,27.5
5,10,7,9,23.75
5,10,7,10,21.25
5,10,8,5,31.25
5,10,8,6,27.5
5,10,8,7,27.5
5,10,8,8,25
5,10,8,9,22.5
5,10,8,10,20
5,10,9,5,28.75
5,10,9,6,23.75
5,10,9,7,21.25
5,10,9,8,18.75
